a, b, c
1363, 684, 1
-1363, 684, 1
1363, -684, 1
-1363, -684, 1
407, 624, 1
-407, 624, 1
407, -624, 1
-407, -624, 1
615, 728, 1
-615, 728, 1
615, -728, 1
-615, -728, 1
285, 68, 1
-285, 68, 1
285, -68, 1
-285, -68, 1
69, 260, 1
-69, 260, 1
69, -260, 1
-69, -260, 1
629, 540, 1
-629, 540, 1
629, -540, 1
-629, -540, 1
527, 336, 1
-527, 336, 1
527, -336, 1
-527, -336, 1
517, 1044, 1
-517, 1044, 1
517, -1044, 1
-517, -1044, 1
1525, 1548, 1
-1525, 1548, 1
1525, -1548, 1
-1525, -1548, 1
975, 448, 1
-975, 448, 1
975, -448, 1
-975, -448, 1
451, 780, 1
-451, 780, 1
451, -780, 1
-451, -780, 1
931, 1020, 1
-931, 1020, 1
931, -1020, 1
-931, -1020, 1
513, 184, 1
-513, 184, 1
513, -184, 1
-513, -184, 1
165, 532, 1
-165, 532, 1
165, -532, 1
-165, -532, 1
1173, 1036, 1
-1173, 1036, 1
1173, -1036, 1
-1173, -1036, 1
943, 576, 1
-943, 576, 1
943, -576, 1
-943, -576, 1
741, 1540, 1
-741, 1540, 1
741, -1540, 1
-741, -1540, 1
2325, 2332, 1
-2325, 2332, 1
2325, -2332, 1
-2325, -2332, 1
1519, 720, 1
-1519, 720, 1
1519, -720, 1
-1519, -720, 1
611, 1020, 1
-611, 1020, 1
611, -1020, 1
-611, -1020, 1
1155, 1292, 1
-1155, 1292, 1
1155, -1292, 1
-1155, -1292, 1
609, 200, 1
-609, 200, 1
609, -200, 1
-609, -200, 1
135, 352, 1
-135, 352, 1
135, -352, 1
-135, -352, 1
663, 616, 1
-663, 616, 1
663, -616, 1
-663, -616, 1
493, 276, 1
-493, 276, 1
493, -276, 1
-493, -276, 1
231, 520, 1
-231, 520, 1
231, -520, 1
-231, -520, 1
855, 832, 1
-855, 832, 1
855, -832, 1
-855, -832, 1
589, 300, 1
-589, 300, 1
589, -300, 1
-589, -300, 1
161, 240, 1
-161, 240, 1
161, -240, 1
-161, -240, 1
225, 272, 1
-225, 272, 1
225, -272, 1
-225, -272, 1
99, 20, 1
-99, 20, 1
99, -20, 1
-99, -20, 1
13, 84, 1
-13, 84, 1
13, -84, 1
-13, -84, 1
253, 204, 1
-253, 204, 1
253, -204, 1
-253, -204, 1
231, 160, 1
-231, 160, 1
231, -160, 1
-231, -160, 1
333, 644, 1
-333, 644, 1
333, -644, 1
-333, -644, 1
893, 924, 1
-893, 924, 1
893, -924, 1
-893, -924, 1
551, 240, 1
-551, 240, 1
551, -240, 1
-551, -240, 1
315, 572, 1
-315, 572, 1
315, -572, 1
-315, -572, 1
731, 780, 1
-731, 780, 1
731, -780, 1
-731, -780, 1
425, 168, 1
-425, 168, 1
425, -168, 1
-425, -168, 1
301, 900, 1
-301, 900, 1
301, -900, 1
-301, -900, 1
1885, 1692, 1
-1885, 1692, 1
1885, -1692, 1
-1885, -1692, 1
1479, 880, 1
-1479, 880, 1
1479, -880, 1
-1479, -880, 1
1005, 2132, 1
-1005, 2132, 1
1005, -2132, 1
-1005, -2132, 1
3293, 3276, 1
-3293, 3276, 1
3293, -3276, 1
-3293, -3276, 1
2183, 1056, 1
-2183, 1056, 1
2183, -1056, 1
-2183, -1056, 1
795, 1292, 1
-795, 1292, 1
795, -1292, 1
-795, -1292, 1
1403, 1596, 1
-1403, 1596, 1
1403, -1596, 1
-1403, -1596, 1
713, 216, 1
-713, 216, 1
713, -216, 1
-713, -216, 1
287, 816, 1
-287, 816, 1
287, -816, 1
-287, -816, 1
1647, 1496, 1
-1647, 1496, 1
1647, -1496, 1
-1647, -1496, 1
1269, 740, 1
-1269, 740, 1
1269, -740, 1
-1269, -740, 1
767, 1656, 1
-767, 1656, 1
767, -1656, 1
-767, -1656, 1
2607, 2576, 1
-2607, 2576, 1
2607, -2576, 1
-2607, -2576, 1
1749, 860, 1
-1749, 860, 1
1749, -860, 1
-1749, -860, 1
585, 928, 1
-585, 928, 1
585, -928, 1
-585, -928, 1
969, 1120, 1
-969, 1120, 1
969, -1120, 1
-969, -1120, 1
475, 132, 1
-475, 132, 1
475, -132, 1
-475, -132, 1
205, 828, 1
-205, 828, 1
205, -828, 1
-205, -828, 1
2077, 1764, 1
-2077, 1764, 1
2077, -1764, 1
-2077, -1764, 1
1767, 1144, 1
-1767, 1144, 1
1767, -1144, 1
-1767, -1144, 1
1869, 3740, 1
-1869, 3740, 1
1869, -3740, 1
-1869, -3740, 1
5405, 5508, 1
-5405, 5508, 1
5405, -5508, 1
-5405, -5508, 1
3431, 1560, 1
-3431, 1560, 1
3431, -1560, 1
-3431, -1560, 1
1659, 2900, 1
-1659, 2900, 1
1659, -2900, 1
-1659, -2900, 1
3515, 3828, 1
-3515, 3828, 1
3515, -3828, 1
-3515, -3828, 1
1961, 720, 1
-1961, 720, 1
1961, -720, 1
-1961, -720, 1
781, 2460, 1
-781, 2460, 1
781, -2460, 1
-781, -2460, 1
5341, 4740, 1
-5341, 4740, 1
5341, -4740, 1
-5341, -4740, 1
4263, 2584, 1
-4263, 2584, 1
4263, -2584, 1
-4263, -2584, 1
3213, 6716, 1
-3213, 6716, 1
3213, -6716, 1
-3213, -6716, 1
10205, 10212, 1
-10205, 10212, 1
10205, -10212, 1
-10205, -10212, 1
6695, 3192, 1
-6695, 3192, 1
6695, -3192, 1
-6695, -3192, 1
2619, 4340, 1
-2619, 4340, 1
2619, -4340, 1
-2619, -4340, 1
4859, 5460, 1
-4859, 5460, 1
4859, -5460, 1
-4859, -5460, 1
2537, 816, 1
-2537, 816, 1
2537, -816, 1
-2537, -816, 1
671, 1800, 1
-671, 1800, 1
671, -1800, 1
-671, -1800, 1
3471, 3200, 1
-3471, 3200, 1
3471, -3200, 1
-3471, -3200, 1
2613, 1484, 1
-2613, 1484, 1
2613, -1484, 1
-2613, -1484, 1
1343, 2976, 1
-1343, 2976, 1
1343, -2976, 1
-1343, -2976, 1
4815, 4712, 1
-4815, 4712, 1
4815, -4712, 1
-4815, -4712, 1
3285, 1652, 1
-3285, 1652, 1
3285, -1652, 1
-3285, -1652, 1
969, 1480, 1
-969, 1480, 1
969, -1480, 1
-969, -1480, 1
1449, 1720, 1
-1449, 1720, 1
1449, -1720, 1
-1449, -1720, 1
667, 156, 1
-667, 156, 1
667, -156, 1
-667, -156, 1
195, 748, 1
-195, 748, 1
195, -748, 1
-195, -748, 1
1827, 1564, 1
-1827, 1564, 1
1827, -1564, 1
-1827, -1564, 1
1537, 984, 1
-1537, 984, 1
1537, -984, 1
-1537, -984, 1
1539, 3100, 1
-1539, 3100, 1
1539, -3100, 1
-1539, -3100, 1
4515, 4588, 1
-4515, 4588, 1
4515, -4588, 1
-4515, -4588, 1
2881, 1320, 1
-2881, 1320, 1
2881, -1320, 1
-2881, -1320, 1
1349, 2340, 1
-1349, 2340, 1
1349, -2340, 1
-1349, -2340, 1
2805, 3068, 1
-2805, 3068, 1
2805, -3068, 1
-2805, -3068, 1
1551, 560, 1
-1551, 560, 1
1551, -560, 1
-1551, -560, 1
531, 1700, 1
-531, 1700, 1
531, -1700, 1
-531, -1700, 1
3731, 3300, 1
-3731, 3300, 1
3731, -3300, 1
-3731, -3300, 1
2993, 1824, 1
-2993, 1824, 1
2993, -1824, 1
-2993, -1824, 1
2323, 4836, 1
-2323, 4836, 1
2323, -4836, 1
-2323, -4836, 1
7315, 7332, 1
-7315, 7332, 1
7315, -7332, 1
-7315, -7332, 1
4785, 2272, 1
-4785, 2272, 1
4785, -2272, 1
-4785, -2272, 1
1909, 3180, 1
-1909, 3180, 1
1909, -3180, 1
-1909, -3180, 1
3589, 4020, 1
-3589, 4020, 1
3589, -4020, 1
-3589, -4020, 1
1887, 616, 1
-1887, 616, 1
1887, -616, 1
-1887, -616, 1
441, 1160, 1
-441, 1160, 1
441, -1160, 1
-441, -1160, 1
2201, 2040, 1
-2201, 2040, 1
2201, -2040, 1
-2201, -2040, 1
1643, 924, 1
-1643, 924, 1
1643, -924, 1
-1643, -924, 1
793, 1776, 1
-793, 1776, 1
793, -1776, 1
-793, -1776, 1
2905, 2832, 1
-2905, 2832, 1
2905, -2832, 1
-2905, -2832, 1
1995, 1012, 1
-1995, 1012, 1
1995, -1012, 1
-1995, -1012, 1
559, 840, 1
-559, 840, 1
559, -840, 1
-559, -840, 1
799, 960, 1
-799, 960, 1
799, -960, 1
-799, -960, 1
357, 76, 1
-357, 76, 1
357, -76, 1
-357, -76, 1
93, 476, 1
-93, 476, 1
93, -476, 1
-93, -476, 1
1325, 1092, 1
-1325, 1092, 1
1325, -1092, 1
-1325, -1092, 1
1175, 792, 1
-1175, 792, 1
1175, -792, 1
-1175, -792, 1
1501, 2940, 1
-1501, 2940, 1
1501, -2940, 1
-1501, -2940, 1
4141, 4260, 1
-4141, 4260, 1
4141, -4260, 1
-4141, -4260, 1
2583, 1144, 1
-2583, 1144, 1
2583, -1144, 1
-2583, -1144, 1
1387, 2484, 1
-1387, 2484, 1
1387, -2484, 1
-1387, -2484, 1
3115, 3348, 1
-3115, 3348, 1
3115, -3348, 1
-3115, -3348, 1
1785, 688, 1
-1785, 688, 1
1785, -688, 1
-1785, -688, 1
1053, 3196, 1
-1053, 3196, 1
1053, -3196, 1
-1053, -3196, 1
6765, 6052, 1
-6765, 6052, 1
6765, -6052, 1
-6765, -6052, 1
5335, 3192, 1
-5335, 3192, 1
5335, -3192, 1
-5335, -3192, 1
3741, 7900, 1
-3741, 7900, 1
3741, -7900, 1
-3741, -7900, 1
12141, 12100, 1
-12141, 12100, 1
12141, -12100, 1
-12141, -12100, 1
8023, 3864, 1
-8023, 3864, 1
8023, -3864, 1
-8023, -3864, 1
2987, 4884, 1
-2987, 4884, 1
2987, -4884, 1
-2987, -4884, 1
5355, 6068, 1
-5355, 6068, 1
5355, -6068, 1
-5355, -6068, 1
2745, 848, 1
-2745, 848, 1
2745, -848, 1
-2745, -848, 1
975, 2728, 1
-975, 2728, 1
975, -2728, 1
-975, -2728, 1
5439, 4960, 1
-5439, 4960, 1
5439, -4960, 1
-5439, -4960, 1
4165, 2412, 1
-4165, 2412, 1
4165, -2412, 1
-4165, -2412, 1
2415, 5248, 1
-2415, 5248, 1
2415, -5248, 1
-2415, -5248, 1
8319, 8200, 1
-8319, 8200, 1
8319, -8200, 1
-8319, -8200, 1
5605, 2772, 1
-5605, 2772, 1
5605, -2772, 1
-5605, -2772, 1
1817, 2856, 1
-1817, 2856, 1
1817, -2856, 1
-1817, -2856, 1
2937, 3416, 1
-2937, 3416, 1
2937, -3416, 1
-2937, -3416, 1
1419, 380, 1
-1419, 380, 1
1419, -380, 1
-1419, -380, 1
413, 1716, 1
-413, 1716, 1
413, -1716, 1
-413, -1716, 1
4365, 3692, 1
-4365, 3692, 1
4365, -3692, 1
-4365, -3692, 1
3735, 2432, 1
-3735, 2432, 1
3735, -2432, 1
-3735, -2432, 1
4061, 8100, 1
-4061, 8100, 1
4061, -8100, 1
-4061, -8100, 1
11661, 11900, 1
-11661, 11900, 1
11661, -11900, 1
-11661, -11900, 1
7383, 3344, 1
-7383, 3344, 1
7383, -3344, 1
-7383, -3344, 1
3627, 6364, 1
-3627, 6364, 1
3627, -6364, 1
-3627, -6364, 1
7755, 8428, 1
-7755, 8428, 1
7755, -8428, 1
-7755, -8428, 1
4345, 1608, 1
-4345, 1608, 1
4345, -1608, 1
-4345, -1608, 1
1853, 5796, 1
-1853, 5796, 1
1853, -5796, 1
-1853, -5796, 1
12525, 11132, 1
-12525, 11132, 1
12525, -11132, 1
-12525, -11132, 1
9975, 6032, 1
-9975, 6032, 1
9975, -6032, 1
-9975, -6032, 1
6027, 9964, 1
-6027, 9964, 1
6027, -9964, 1
-6027, -9964, 1
11115, 12508, 1
-11115, 12508, 1
11115, -12508, 1
-11115, -12508, 1
5785, 1848, 1
-5785, 1848, 1
5785, -1848, 1
-5785, -1848, 1
1615, 4368, 1
-1615, 4368, 1
1615, -4368, 1
-1615, -4368, 1
8479, 7800, 1
-8479, 7800, 1
8479, -7800, 1
-8479, -7800, 1
6405, 3652, 1
-6405, 3652, 1
6405, -3652, 1
-6405, -3652, 1
3375, 7448, 1
-3375, 7448, 1
3375, -7448, 1
-3375, -7448, 1
11999, 11760, 1
-11999, 11760, 1
11999, -11760, 1
-11999, -11760, 1
8165, 4092, 1
-8165, 4092, 1
8165, -4092, 1
-8165, -4092, 1
2457, 3776, 1
-2457, 3776, 1
2457, -3776, 1
-2457, -3776, 1
3737, 4416, 1
-3737, 4416, 1
3737, -4416, 1
-3737, -4416, 1
1739, 420, 1
-1739, 420, 1
1739, -420, 1
-1739, -420, 1
371, 1380, 1
-371, 1380, 1
371, -1380, 1
-371, -1380, 1
3315, 2852, 1
-3315, 2852, 1
3315, -2852, 1
-3315, -2852, 1
2769, 1760, 1
-2769, 1760, 1
2769, -1760, 1
-2769, -1760, 1
2675, 5412, 1
-2675, 5412, 1
2675, -5412, 1
-2675, -5412, 1
7923, 8036, 1
-7923, 8036, 1
7923, -8036, 1
-7923, -8036, 1
5073, 2336, 1
-5073, 2336, 1
5073, -2336, 1
-5073, -2336, 1
2325, 4012, 1
-2325, 4012, 1
2325, -4012, 1
-2325, -4012, 1
4773, 5236, 1
-4773, 5236, 1
4773, -5236, 1
-4773, -5236, 1
2623, 936, 1
-2623, 936, 1
2623, -936, 1
-2623, -936, 1
803, 2604, 1
-803, 2604, 1
803, -2604, 1
-803, -2604, 1
5763, 5084, 1
-5763, 5084, 1
5763, -5084, 1
-5763, -5084, 1
4641, 2840, 1
-4641, 2840, 1
4641, -2840, 1
-4641, -2840, 1
3683, 7644, 1
-3683, 7644, 1
3683, -7644, 1
-3683, -7644, 1
11523, 11564, 1
-11523, 11564, 1
11523, -11564, 1
-11523, -11564, 1
7521, 3560, 1
-7521, 3560, 1
7521, -3560, 1
-7521, -3560, 1
3045, 5092, 1
-3045, 5092, 1
3045, -5092, 1
-3045, -5092, 1
5781, 6460, 1
-5781, 6460, 1
5781, -6460, 1
-5781, -6460, 1
3055, 1008, 1
-3055, 1008, 1
3055, -1008, 1
-3055, -1008, 1
649, 1680, 1
-649, 1680, 1
649, -1680, 1
-649, -1680, 1
3145, 2928, 1
-3145, 2928, 1
3145, -2928, 1
-3145, -2928, 1
2331, 1300, 1
-2331, 1300, 1
2331, -1300, 1
-2331, -1300, 1
1065, 2408, 1
-1065, 2408, 1
1065, -2408, 1
-1065, -2408, 1
3977, 3864, 1
-3977, 3864, 1
3977, -3864, 1
-3977, -3864, 1
2747, 1404, 1
-2747, 1404, 1
2747, -1404, 1
-2747, -1404, 1
735, 1088, 1
-735, 1088, 1
735, -1088, 1
-735, -1088, 1
1007, 1224, 1
-1007, 1224, 1
1007, -1224, 1
-1007, -1224, 1
437, 84, 1
-437, 84, 1
437, -84, 1
-437, -84, 1
87, 416, 1
-87, 416, 1
87, -416, 1
-87, -416, 1
1127, 936, 1
-1127, 936, 1
1127, -936, 1
-1127, -936, 1
989, 660, 1
-989, 660, 1
989, -660, 1
-989, -660, 1
1207, 2376, 1
-1207, 2376, 1
1207, -2376, 1
-1207, -2376, 1
3367, 3456, 1
-3367, 3456, 1
3367, -3456, 1
-3367, -3456, 1
2109, 940, 1
-2109, 940, 1
2109, -940, 1
-2109, -940, 1
1105, 1968, 1
-1105, 1968, 1
1105, -1968, 1
-1105, -1968, 1
2449, 2640, 1
-2449, 2640, 1
2449, -2640, 1
-2449, -2640, 1
1395, 532, 1
-1395, 532, 1
1395, -532, 1
-1395, -532, 1
759, 2320, 1
-759, 2320, 1
759, -2320, 1
-759, -2320, 1
4935, 4408, 1
-4935, 4408, 1
4935, -4408, 1
-4935, -4408, 1
3901, 2340, 1
-3901, 2340, 1
3901, -2340, 1
-3901, -2340, 1
2775, 5848, 1
-2775, 5848, 1
2775, -5848, 1
-2775, -5848, 1
8967, 8944, 1
-8967, 8944, 1
8967, -8944, 1
-8967, -8944, 1
5917, 2844, 1
-5917, 2844, 1
5917, -2844, 1
-5917, -2844, 1
2225, 3648, 1
-2225, 3648, 1
2225, -3648, 1
-2225, -3648, 1
4017, 4544, 1
-4017, 4544, 1
4017, -4544, 1
-4017, -4544, 1
2067, 644, 1
-2067, 644, 1
2067, -644, 1
-2067, -644, 1
693, 1924, 1
-693, 1924, 1
693, -1924, 1
-693, -1924, 1
3813, 3484, 1
-3813, 3484, 1
3813, -3484, 1
-3813, -3484, 1
2911, 1680, 1
-2911, 1680, 1
2911, -1680, 1
-2911, -1680, 1
1653, 3604, 1
-1653, 3604, 1
1653, -3604, 1
-1653, -3604, 1
5733, 5644, 1
-5733, 5644, 1
5733, -5644, 1
-5733, -5644, 1
3871, 1920, 1
-3871, 1920, 1
3871, -1920, 1
-3871, -1920, 1
1235, 1932, 1
-1235, 1932, 1
1235, -1932, 1
-1235, -1932, 1
1971, 2300, 1
-1971, 2300, 1
1971, -2300, 1
-1971, -2300, 1
945, 248, 1
-945, 248, 1
945, -248, 1
-945, -248, 1
215, 912, 1
-215, 912, 1
215, -912, 1
-215, -912, 1
2343, 1976, 1
-2343, 1976, 1
2343, -1976, 1
-2343, -1976, 1
2013, 1316, 1
-2013, 1316, 1
2013, -1316, 1
-2013, -1316, 1
2231, 4440, 1
-2231, 4440, 1
2231, -4440, 1
-2231, -4440, 1
6375, 6512, 1
-6375, 6512, 1
6375, -6512, 1
-6375, -6512, 1
4029, 1820, 1
-4029, 1820, 1
4029, -1820, 1
-4029, -1820, 1
2001, 3520, 1
-2001, 3520, 1
2001, -3520, 1
-2001, -3520, 1
4305, 4672, 1
-4305, 4672, 1
4305, -4672, 1
-4305, -4672, 1
2419, 900, 1
-2419, 900, 1
2419, -900, 1
-2419, -900, 1
1079, 3360, 1
-1079, 3360, 1
1079, -3360, 1
-1079, -3360, 1
7239, 6440, 1
-7239, 6440, 1
7239, -6440, 1
-7239, -6440, 1
5757, 3476, 1
-5757, 3476, 1
5757, -3476, 1
-5757, -3476, 1
4247, 8904, 1
-4247, 8904, 1
4247, -8904, 1
-4247, -8904, 1
13575, 13568, 1
-13575, 13568, 1
13575, -13568, 1
-13575, -13568, 1
8925, 4268, 1
-8925, 4268, 1
8925, -4268, 1
-8925, -4268, 1
3441, 5680, 1
-3441, 5680, 1
3441, -5680, 1
-3441, -5680, 1
6321, 7120, 1
-6321, 7120, 1
6321, -7120, 1
-6321, -7120, 1
3283, 1044, 1
-3283, 1044, 1
3283, -1044, 1
-3283, -1044, 1
949, 2580, 1
-949, 2580, 1
949, -2580, 1
-949, -2580, 1
5029, 4620, 1
-5029, 4620, 1
5029, -4620, 1
-5029, -4620, 1
3807, 2176, 1
-3807, 2176, 1
3807, -2176, 1
-3807, -2176, 1
2037, 4484, 1
-2037, 4484, 1
2037, -4484, 1
-2037, -4484, 1
7205, 7068, 1
-7205, 7068, 1
7205, -7068, 1
-7205, -7068, 1
4895, 2448, 1
-4895, 2448, 1
4895, -2448, 1
-4895, -2448, 1
1491, 2300, 1
-1491, 2300, 1
1491, -2300, 1
-1491, -2300, 1
2291, 2700, 1
-2291, 2700, 1
2291, -2700, 1
-2291, -2700, 1
1073, 264, 1
-1073, 264, 1
1073, -264, 1
-1073, -264, 1
185, 672, 1
-185, 672, 1
185, -672, 1
-185, -672, 1
1593, 1376, 1
-1593, 1376, 1
1593, -1376, 1
-1593, -1376, 1
1323, 836, 1
-1323, 836, 1
1323, -836, 1
-1323, -836, 1
1241, 2520, 1
-1241, 2520, 1
1241, -2520, 1
-1241, -2520, 1
3705, 3752, 1
-3705, 3752, 1
3705, -3752, 1
-3705, -3752, 1
