a, b, c
9447, -7696, 1
-9447, -7696, 1
8509, 5820, 1
-8509, 5820, 1
8509, -5820, 1
-8509, -5820, 1
14355, 5612, 1
-14355, 5612, 1
14355, -5612, 1
-14355, -5612, 1
13905, 3808, 1
-13905, 3808, 1
13905, -3808, 1
-13905, -3808, 1
7663, 1584, 1
-7663, 1584, 1
7663, -1584, 1
-7663, -1584, 1
1287, 6784, 1
-1287, 6784, 1
1287, -6784, 1
-1287, -6784, 1
8383, 1656, 1
-8383, 1656, 1
8383, -1656, 1
-8383, -1656, 1
1133, 5244, 1
-1133, 5244, 1
1133, -5244, 1
-1133, -5244, 1
14013, 11684, 1
-14013, 11684, 1
14013, -11684, 1
-14013, -11684, 1
12231, 8120, 1
-12231, 8120, 1
12231, -8120, 1
-12231, -8120, 1
10235, 2652, 1
-10235, 2652, 1
10235, -2652, 1
-10235, -2652, 1
1965, 8468, 1
-1965, 8468, 1
1965, -8468, 1
-1965, -8468, 1
11067, 2756, 1
-11067, 2756, 1
11067, -2756, 1
-11067, -2756, 1
1635, 5828, 1
-1635, 5828, 1
1635, -5828, 1
-1635, -5828, 1
13667, 11844, 1
-13667, 11844, 1
13667, -11844, 1
-13667, -11844, 1
11297, 7104, 1
-11297, 7104, 1
11297, -7104, 1
-11297, -7104, 1
9711, 3400, 1
-9711, 3400, 1
9711, -3400, 1
-9711, -3400, 1
2451, 8140, 1
-2451, 8140, 1
2451, -8140, 1
-2451, -8140, 1
14833, 9144, 1
-14833, 9144, 1
14833, -9144, 1
-14833, -9144, 1
10527, 3536, 1
-10527, 3536, 1
10527, -3536, 1
-10527, -3536, 1
1881, 4720, 1
-1881, 4720, 1
1881, -4720, 1
-1881, -4720, 1
8601, 8080, 1
-8601, 8080, 1
8601, -8080, 1
-8601, -8080, 1
6283, 3444, 1
-6283, 3444, 1
6283, -3444, 1
-6283, -3444, 1
2553, 5896, 1
-2553, 5896, 1
2553, -5896, 1
-2553, -5896, 1
9945, 9592, 1
-9945, 9592, 1
9945, -9592, 1
-9945, -9592, 1
6955, 3612, 1
-6955, 3612, 1
6955, -3612, 1
-6955, -3612, 1
1679, 2400, 1
-1679, 2400, 1
1679, -2400, 1
-1679, -2400, 1
2079, 2600, 1
-2079, 2600, 1
2079, -2600, 1
-2079, -2600, 1
837, 116, 1
-837, 116, 1
837, -116, 1
-837, -116, 1
123, 836, 1
-123, 836, 1
123, -836, 1
-123, -836, 1
2555, 2052, 1
-2555, 2052, 1
2555, -2052, 1
-2555, -2052, 1
2345, 1632, 1
-2345, 1632, 1
2345, -1632, 1
-2345, -1632, 1
3451, 6660, 1
-3451, 6660, 1
3451, -6660, 1
-3451, -6660, 1
9211, 9540, 1
-9211, 9540, 1
9211, -9540, 1
-9211, -9540, 1
5673, 2464, 1
-5673, 2464, 1
5673, -2464, 1
-5673, -2464, 1
3277, 5964, 1
-3277, 5964, 1
3277, -5964, 1
-3277, -5964, 1
7645, 8148, 1
-7645, 8148, 1
7645, -8148, 1
-7645, -8148, 1
4455, 1768, 1
-4455, 1768, 1
4455, -1768, 1
-4455, -1768, 1
3243, 9676, 1
-3243, 9676, 1
3243, -9676, 1
-3243, -9676, 1
8477, 13764, 1
-8477, 13764, 1
8477, -13764, 1
-8477, -13764, 1
7575, 2288, 1
-7575, 2288, 1
7575, -2288, 1
-7575, -2288, 1
3105, 8848, 1
-3105, 8848, 1
3105, -8848, 1
-3105, -8848, 1
13795, 8052, 1
-13795, 8052, 1
13795, -8052, 1
-13795, -8052, 1
6407, 10176, 1
-6407, 10176, 1
6407, -10176, 1
-6407, -10176, 1
10647, 12296, 1
-10647, 12296, 1
10647, -12296, 1
-10647, -12296, 1
5229, 1460, 1
-5229, 1460, 1
5229, -1460, 1
-5229, -1460, 1
2363, 9516, 1
-2363, 9516, 1
2363, -9516, 1
-2363, -9516, 1
7469, 1740, 1
-7469, 1740, 1
7469, -1740, 1
-7469, -1740, 1
2261, 8700, 1
-2261, 8700, 1
2261, -8700, 1
-2261, -8700, 1
5239, 13800, 1
-5239, 13800, 1
5239, -13800, 1
-5239, -13800, 1
6705, 10088, 1
-6705, 10088, 1
6705, -10088, 1
-6705, -10088, 1
9617, 11544, 1
-9617, 11544, 1
9617, -11544, 1
-9617, -11544, 1
4307, 924, 1
-4307, 924, 1
4307, -924, 1
-4307, -924, 1
1243, 6324, 1
-1243, 6324, 1
1243, -6324, 1
-1243, -6324, 1
9169, 13560, 1
-9169, 13560, 1
9169, -13560, 1
-9169, -13560, 1
5427, 1036, 1
-5427, 1036, 1
5427, -1036, 1
-5427, -1036, 1
1177, 5664, 1
-1177, 5664, 1
1177, -5664, 1
-1177, -5664, 1
13515, 9028, 1
-13515, 9028, 1
13515, -9028, 1
-13515, -9028, 1
13231, 3480, 1
-13231, 3480, 1
13231, -3480, 1
-13231, -3480, 1
3097, 13104, 1
-3097, 13104, 1
3097, -13104, 1
-3097, -13104, 1
2679, 9760, 1
-2679, 9760, 1
2679, -9760, 1
-2679, -9760, 1
3861, 9860, 1
-3861, 9860, 1
3861, -9860, 1
-3861, -9860, 1
13439, 7440, 1
-13439, 7440, 1
13439, -7440, 1
-13439, -7440, 1
5845, 13332, 1
-5845, 13332, 1
5845, -13332, 1
-5845, -13332, 1
3955, 5772, 1
-3955, 5772, 1
3955, -5772, 1
-3955, -5772, 1
5203, 6396, 1
-5203, 6396, 1
5203, -6396, 1
-5203, -6396, 1
2193, 376, 1
-2193, 376, 1
2193, -376, 1
-2193, -376, 1
315, 1972, 1
-315, 1972, 1
315, -1972, 1
-315, -1972, 1
5883, 4756, 1
-5883, 4756, 1
5883, -4756, 1
-5883, -4756, 1
5353, 3696, 1
-5353, 3696, 1
5353, -3696, 1
-5353, -3696, 1
7611, 14740, 1
-7611, 14740, 1
7611, -14740, 1
-7611, -14740, 1
12649, 5520, 1
-12649, 5520, 1
12649, -5520, 1
-12649, -5520, 1
7181, 13020, 1
-7181, 13020, 1
7181, -13020, 1
-7181, -13020, 1
9639, 3800, 1
-9639, 3800, 1
9639, -3800, 1
-9639, -3800, 1
10413, 2884, 1
-10413, 2884, 1
10413, -2884, 1
-10413, -2884, 1
14445, 3388, 1
-14445, 3388, 1
14445, -3388, 1
-14445, -3388, 1
7315, 1548, 1
-7315, 1548, 1
7315, -1548, 1
-7315, -1548, 1
1755, 9028, 1
-1755, 9028, 1
1755, -9028, 1
-1755, -9028, 1
8755, 1692, 1
-8755, 1692, 1
8755, -1692, 1
-8755, -1692, 1
1625, 7728, 1
-1625, 7728, 1
1625, -7728, 1
-1625, -7728, 1
3255, 11792, 1
-3255, 11792, 1
3255, -11792, 1
-3255, -11792, 1
4437, 11284, 1
-4437, 11284, 1
4437, -11284, 1
-4437, -11284, 1
6549, 14980, 1
-6549, 14980, 1
6549, -14980, 1
-6549, -14980, 1
4403, 6396, 1
-4403, 6396, 1
4403, -6396, 1
-4403, -6396, 1
5715, 7052, 1
-5715, 7052, 1
5715, -7052, 1
-5715, -7052, 1
2385, 392, 1
-2385, 392, 1
2385, -392, 1
-2385, -392, 1
285, 1612, 1
-285, 1612, 1
285, -1612, 1
-285, -1612, 1
4653, 3796, 1
-4653, 3796, 1
4653, -3796, 1
-4653, -3796, 1
4183, 2856, 1
-4183, 2856, 1
4183, -2856, 1
-4183, -2856, 1
5661, 11020, 1
-5661, 11020, 1
5661, -11020, 1
-5661, -11020, 1
9559, 4200, 1
-9559, 4200, 1
9559, -4200, 1
-9559, -4200, 1
5291, 9540, 1
-5291, 9540, 1
5291, -9540, 1
-5291, -9540, 1
12075, 12932, 1
-12075, 12932, 1
12075, -12932, 1
-12075, -12932, 1
6969, 2720, 1
-6969, 2720, 1
6969, -2720, 1
-6969, -2720, 1
4509, 13580, 1
-4509, 13580, 1
4509, -13580, 1
-4509, -13580, 1
11193, 3424, 1
-11193, 3424, 1
11193, -3424, 1
-11193, -3424, 1
4239, 11960, 1
-4239, 11960, 1
4239, -11960, 1
-4239, -11960, 1
8281, 13080, 1
-8281, 13080, 1
8281, -13080, 1
-8281, -13080, 1
6603, 1804, 1
-6603, 1804, 1
6603, -1804, 1
-6603, -1804, 1
2397, 9796, 1
-2397, 9796, 1
2397, -9796, 1
-2397, -9796, 1
8715, 2068, 1
-8715, 2068, 1
8715, -2068, 1
-8715, -2068, 1
2227, 8436, 1
-2227, 8436, 1
2227, -8436, 1
-2227, -8436, 1
4553, 11904, 1
-4553, 11904, 1
4553, -11904, 1
-4553, -11904, 1
5535, 8272, 1
-5535, 8272, 1
5535, -8272, 1
-5535, -8272, 1
7791, 9400, 1
-7791, 9400, 1
7791, -9400, 1
-7791, -9400, 1
3445, 708, 1
-3445, 708, 1
3445, -708, 1
-3445, -708, 1
525, 2788, 1
-525, 2788, 1
525, -2788, 1
-525, -2788, 1
7869, 6460, 1
-7869, 6460, 1
7869, -6460, 1
-7869, -6460, 1
7015, 4752, 1
-7015, 4752, 1
7015, -4752, 1
-7015, -4752, 1
11049, 4280, 1
-11049, 4280, 1
11049, -4280, 1
-11049, -4280, 1
9435, 2548, 1
-9435, 2548, 1
9435, -2548, 1
-9435, -2548, 1
3021, 12460, 1
-3021, 12460, 1
3021, -12460, 1
-3021, -12460, 1
11931, 2860, 1
-11931, 2860, 1
11931, -2860, 1
-11931, -2860, 1
2755, 10332, 1
-2755, 10332, 1
2755, -10332, 1
-2755, -10332, 1
5177, 13464, 1
-5177, 13464, 1
5177, -13464, 1
-5177, -13464, 1
6063, 9016, 1
-6063, 9016, 1
6063, -9016, 1
-6063, -9016, 1
8415, 10192, 1
-8415, 10192, 1
8415, -10192, 1
-8415, -10192, 1
3685, 732, 1
-3685, 732, 1
3685, -732, 1
-3685, -732, 1
455, 2088, 1
-455, 2088, 1
455, -2088, 1
-455, -2088, 1
5559, 4640, 1
-5559, 4640, 1
5559, -4640, 1
-5559, -4640, 1
4845, 3212, 1
-4845, 3212, 1
4845, -3212, 1
-4845, -3212, 1
5735, 11328, 1
-5735, 11328, 1
5735, -11328, 1
-5735, -11328, 1
10125, 4532, 1
-10125, 4532, 1
10125, -4532, 1
-10125, -4532, 1
5217, 9256, 1
-5217, 9256, 1
5217, -9256, 1
-5217, -9256, 1
11457, 12376, 1
-11457, 12376, 1
11457, -12376, 1
-11457, -12376, 1
6499, 2460, 1
-6499, 2460, 1
6499, -2460, 1
-6499, -2460, 1
3335, 10248, 1
-3335, 10248, 1
3335, -10248, 1
-3335, -10248, 1
9379, 2940, 1
-9379, 2940, 1
9379, -2940, 1
-9379, -2940, 1
3013, 8316, 1
-3013, 8316, 1
3013, -8316, 1
-3013, -8316, 1
12495, 7192, 1
-12495, 7192, 1
12495, -7192, 1
-12495, -7192, 1
5187, 8084, 1
-5187, 8084, 1
5187, -8084, 1
-5187, -8084, 1
8195, 9588, 1
-8195, 9588, 1
8195, -9588, 1
-8195, -9588, 1
3905, 1008, 1
-3905, 1008, 1
3905, -1008, 1
-3905, -1008, 1
711, 3080, 1
-711, 3080, 1
711, -3080, 1
-711, -3080, 1
7991, 6720, 1
-7991, 6720, 1
7991, -6720, 1
-7991, -6720, 1
6893, 4524, 1
-6893, 4524, 1
6893, -4524, 1
-6893, -4524, 1
13965, 6292, 1
-13965, 6292, 1
13965, -6292, 1
-13965, -6292, 1
7009, 12360, 1
-7009, 12360, 1
7009, -12360, 1
-7009, -12360, 1
8547, 3196, 1
-8547, 3196, 1
8547, -3196, 1
-8547, -3196, 1
3975, 12328, 1
-3975, 12328, 1
3975, -12328, 1
-3975, -12328, 1
11811, 3740, 1
-11811, 3740, 1
11811, -3740, 1
-11811, -3740, 1
3525, 9628, 1
-3525, 9628, 1
3525, -9628, 1
-3525, -9628, 1
14287, 8184, 1
-14287, 8184, 1
14287, -8184, 1
-14287, -8184, 1
5699, 8820, 1
-5699, 8820, 1
5699, -8820, 1
-5699, -8820, 1
8835, 10388, 1
-8835, 10388, 1
8835, -10388, 1
-8835, -10388, 1
4161, 1040, 1
-4161, 1040, 1
4161, -1040, 1
-4161, -1040, 1
585, 2072, 1
-585, 2072, 1
585, -2072, 1
-585, -2072, 1
4841, 4200, 1
-4841, 4200, 1
4841, -4200, 1
-4841, -4200, 1
3995, 2508, 1
-3995, 2508, 1
3995, -2508, 1
-3995, -2508, 1
3625, 7392, 1
-3625, 7392, 1
3625, -7392, 1
-3625, -7392, 1
10921, 11040, 1
-10921, 11040, 1
10921, -11040, 1
-10921, -11040, 1
7035, 3268, 1
-7035, 3268, 1
7035, -3268, 1
-7035, -3268, 1
3103, 5304, 1
-3103, 5304, 1
3103, -5304, 1
-3103, -5304, 1
6223, 6864, 1
-6223, 6864, 1
6223, -6864, 1
-6223, -6864, 1
3381, 1180, 1
-3381, 1180, 1
3381, -1180, 1
-3381, -1180, 1
825, 2752, 1
-825, 2752, 1
825, -2752, 1
-825, -2752, 1
6201, 5440, 1
-6201, 5440, 1
6201, -5440, 1
-6201, -5440, 1
5035, 3108, 1
-5035, 3108, 1
5035, -3108, 1
-5035, -3108, 1
4185, 8632, 1
-4185, 8632, 1
4185, -8632, 1
-4185, -8632, 1
12921, 13000, 1
-12921, 13000, 1
12921, -13000, 1
-12921, -13000, 1
8395, 3948, 1
-8395, 3948, 1
8395, -3948, 1
-8395, -3948, 1
3503, 5904, 1
-3503, 5904, 1
3503, -5904, 1
-3503, -5904, 1
6783, 7544, 1
-6783, 7544, 1
6783, -7544, 1
-6783, -7544, 1
3621, 1220, 1
-3621, 1220, 1
3621, -1220, 1
-3621, -1220, 1
627, 1564, 1
-627, 1564, 1
627, -1564, 1
-627, -1564, 1
2835, 2668, 1
-2835, 2668, 1
2835, -2668, 1
-2835, -2668, 1
2065, 1128, 1
-2065, 1128, 1
2065, -1128, 1
-2065, -1128, 1
819, 1900, 1
-819, 1900, 1
819, -1900, 1
-819, -1900, 1
3219, 3100, 1
-3219, 3100, 1
3219, -3100, 1
-3219, -3100, 1
2257, 1176, 1
-2257, 1176, 1
2257, -1176, 1
-2257, -1176, 1
533, 756, 1
-533, 756, 1
533, -756, 1
-533, -756, 1
645, 812, 1
-645, 812, 1
645, -812, 1
-645, -812, 1
255, 32, 1
-255, 32, 1
255, -32, 1
-255, -32, 1
19, 180, 1
-19, 180, 1
19, -180, 1
-19, -180, 1
595, 468, 1
-595, 468, 1
595, -468, 1
-595, -468, 1
561, 400, 1
-561, 400, 1
561, -400, 1
-561, -400, 1
915, 1748, 1
-915, 1748, 1
915, -1748, 1
-915, -1748, 1
2387, 2484, 1
-2387, 2484, 1
2387, -2484, 1
-2387, -2484, 1
1457, 624, 1
-1457, 624, 1
1457, -624, 1
-1457, -624, 1
885, 1628, 1
-885, 1628, 1
885, -1628, 1
-885, -1628, 1
2117, 2244, 1
-2117, 2244, 1
2117, -2244, 1
-2117, -2244, 1
1247, 504, 1
-1247, 504, 1
1247, -504, 1
-1247, -504, 1
1027, 3036, 1
-1027, 3036, 1
1027, -3036, 1
-1027, -3036, 1
6307, 5676, 1
-6307, 5676, 1
6307, -5676, 1
-6307, -5676, 1
4929, 2920, 1
-4929, 2920, 1
4929, -2920, 1
-4929, -2920, 1
3267, 6956, 1
-3267, 6956, 1
3267, -6956, 1
-3267, -6956, 1
10787, 10716, 1
-10787, 10716, 1
10787, -10716, 1
-10787, -10716, 1
7169, 3480, 1
-7169, 3480, 1
7169, -3480, 1
-7169, -3480, 1
2565, 4148, 1
-2565, 4148, 1
2565, -4148, 1
-2565, -4148, 1
4469, 5100, 1
-4469, 5100, 1
4469, -5100, 1
-4469, -5100, 1
2255, 672, 1
-2255, 672, 1
2255, -672, 1
-2255, -672, 1
1001, 2880, 1
-1001, 2880, 1
1001, -2880, 1
-1001, -2880, 1
5865, 5312, 1
-5865, 5312, 1
5865, -5312, 1
-5865, -5312, 1
4539, 2660, 1
-4539, 2660, 1
4539, -2660, 1
-4539, -2660, 1
2825, 6072, 1
-2825, 6072, 1
2825, -6072, 1
-2825, -6072, 1
9513, 9416, 1
-9513, 9416, 1
9513, -9416, 1
-9513, -9416, 1
6363, 3116, 1
-6363, 3116, 1
6363, -3116, 1
-6363, -3116, 1
2175, 3472, 1
-2175, 3472, 1
2175, -3472, 1
-2175, -3472, 1
3663, 4216, 1
-3663, 4216, 1
3663, -4216, 1
-3663, -4216, 1
1813, 516, 1
-1813, 516, 1
1813, -516, 1
-1813, -516, 1
979, 3900, 1
-979, 3900, 1
979, -3900, 1
-979, -3900, 1
9715, 8268, 1
-9715, 8268, 1
9715, -8268, 1
-9715, -8268, 1
8241, 5320, 1
-8241, 5320, 1
8241, -5320, 1
-8241, -5320, 1
7605, 13268, 1
-7605, 13268, 1
7605, -13268, 1
-7605, -13268, 1
8927, 3264, 1
-8927, 3264, 1
8927, -3264, 1
-8927, -3264, 1
3427, 10836, 1
-3427, 10836, 1
3427, -10836, 1
-3427, -10836, 1
11375, 3672, 1
-11375, 3672, 1
11375, -3672, 1
-11375, -3672, 1
2921, 7800, 1
-2921, 7800, 1
2921, -7800, 1
-2921, -7800, 1
14985, 13832, 1
-14985, 13832, 1
14985, -13832, 1
-14985, -13832, 1
11259, 6380, 1
-11259, 6380, 1
11259, -6380, 1
-11259, -6380, 1
5705, 12672, 1
-5705, 12672, 1
5705, -12672, 1
-5705, -12672, 1
14043, 7076, 1
-14043, 7076, 1
14043, -7076, 1
-14043, -7076, 1
4095, 6232, 1
-4095, 6232, 1
4095, -6232, 1
-4095, -6232, 1
6063, 7216, 1
-6063, 7216, 1
6063, -7216, 1
-6063, -7216, 1
2773, 636, 1
-2773, 636, 1
2773, -636, 1
-2773, -636, 1
957, 3724, 1
-957, 3724, 1
957, -3724, 1
-957, -3724, 1
9165, 7828, 1
-9165, 7828, 1
9165, -7828, 1
-9165, -7828, 1
7735, 4968, 1
-7735, 4968, 1
7735, -4968, 1
-7735, -4968, 1
14647, 6696, 1
-14647, 6696, 1
14647, -6696, 1
-14647, -6696, 1
6923, 12036, 1
-6923, 12036, 1
6923, -12036, 1
-6923, -12036, 1
8025, 2912, 1
-8025, 2912, 1
8025, -2912, 1
-8025, -2912, 1
2877, 9164, 1
-2877, 9164, 1
2877, -9164, 1
-2877, -9164, 1
9945, 3232, 1
-9945, 3232, 1
9945, -3232, 1
-9945, -3232, 1
2415, 6392, 1
-2415, 6392, 1
2415, -6392, 1
-2415, -6392, 1
12191, 11280, 1
-12191, 11280, 1
12191, -11280, 1
-12191, -11280, 1
9125, 5148, 1
-9125, 5148, 1
9125, -5148, 1
-9125, -5148, 1
4495, 10032, 1
-4495, 10032, 1
4495, -10032, 1
-4495, -10032, 1
11205, 5668, 1
-11205, 5668, 1
11205, -5668, 1
-11205, -5668, 1
3193, 4824, 1
-3193, 4824, 1
3193, -4824, 1
-3193, -4824, 1
4633, 5544, 1
-4633, 5544, 1
4633, -5544, 1
-4633, -5544, 1
2091, 460, 1
-2091, 460, 1
2091, -460, 1
-2091, -460, 1
819, 4100, 1
-819, 4100, 1
819, -4100, 1
-819, -4100, 1
11315, 9348, 1
-11315, 9348, 1
11315, -9348, 1
-11315, -9348, 1
10001, 6720, 1
-10001, 6720, 1
10001, -6720, 1
-10001, -6720, 1
14847, 5704, 1
-14847, 5704, 1
14847, -5704, 1
-14847, -5704, 1
11253, 2996, 1
-11253, 2996, 1
11253, -2996, 1
-11253, -2996, 1
3059, 12780, 1
-3059, 12780, 1
3059, -12780, 1
-3059, -12780, 1
13493, 3276, 1
-13493, 3276, 1
13493, -3276, 1
-13493, -3276, 1
2717, 10044, 1
-2717, 10044, 1
2717, -10044, 1
-2717, -10044, 1
4495, 11592, 1
-4495, 11592, 1
4495, -11592, 1
-4495, -11592, 1
4953, 7304, 1
-4953, 7304, 1
4953, -7304, 1
-4953, -7304, 1
6713, 8184, 1
-6713, 8184, 1
6713, -8184, 1
-6713, -8184, 1
2891, 540, 1
-2891, 540, 1
2891, -540, 1
-2891, -540, 1
801, 3920, 1
-801, 3920, 1
801, -3920, 1
-801, -3920, 1
10721, 8880, 1
-10721, 8880, 1
10721, -8880, 1
-10721, -8880, 1
9443, 6324, 1
-9443, 6324, 1
9443, -6324, 1
-9443, -6324, 1
13677, 5236, 1
-13677, 5236, 1
13677, -5236, 1
-13677, -5236, 1
9831, 2600, 1
-9831, 2600, 1
9831, -2600, 1
-9831, -2600, 1
2465, 10368, 1
-2465, 10368, 1
2465, -10368, 1
-2465, -10368, 1
11495, 2808, 1
-11495, 2808, 1
11495, -2808, 1
-11495, -2808, 1
2159, 7920, 1
-2159, 7920, 1
2159, -7920, 1
-2159, -7920, 1
14443, 5124, 1
-14443, 5124, 1
14443, -5124, 1
-14443, -5124, 1
4175, 13632, 1
-4175, 13632, 1
4175, -13632, 1
-4175, -13632, 1
3325, 8532, 1
-3325, 8532, 1
3325, -8532, 1
-3325, -8532, 1
11703, 6496, 1
-11703, 6496, 1
11703, -6496, 1
-11703, -6496, 1
5181, 11780, 1
-5181, 11780, 1
5181, -11780, 1
-5181, -11780, 1
13559, 6960, 1
-13559, 6960, 1
13559, -6960, 1
-13559, -6960, 1
3531, 5180, 1
-3531, 5180, 1
3531, -5180, 1
-3531, -5180, 1
4715, 5772, 1
-4715, 5772, 1
4715, -5772, 1
-4715, -5772, 1
2009, 360, 1
-2009, 360, 1
2009, -360, 1
-2009, -360, 1
595, 3588, 1
-595, 3588, 1
595, -3588, 1
-595, -3588, 1
10579, 8580, 1
-10579, 8580, 1
10579, -8580, 1
-10579, -8580, 1
9585, 6592, 1
-9585, 6592, 1
9585, -6592, 1
-9585, -6592, 1
11115, 2332, 1
-11115, 2332, 1
11115, -2332, 1
-11115, -2332, 1
2355, 12212, 1
-2355, 12212, 1
2355, -12212, 1
-2355, -12212, 1
12875, 2508, 1
-12875, 2508, 1
12875, -2508, 1
-12875, -2508, 1
2145, 10112, 1
-2145, 10112, 1
2145, -10112, 1
-2145, -10112, 1
3887, 14016, 1
-3887, 14016, 1
3887, -14016, 1
-3887, -14016, 1
5053, 12804, 1
-5053, 12804, 1
5053, -12804, 1
-5053, -12804, 1
4875, 7052, 1
-4875, 7052, 1
4875, -7052, 1
-4875, -7052, 1
6251, 7740, 1
-6251, 7740, 1
6251, -7740, 1
-6251, -7740, 1
2585, 408, 1
-2585, 408, 1
2585, -408, 1
-2585, -408, 1
581, 3420, 1
-581, 3420, 1
581, -3420, 1
-581, -3420, 1
10005, 8132, 1
-10005, 8132, 1
10005, -8132, 1
-10005, -8132, 1
9039, 6200, 1
-9039, 6200, 1
9039, -6200, 1
-9039, -6200, 1
9309, 1940, 1
-9309, 1940, 1
9309, -1940, 1
-9309, -1940, 1
1781, 9300, 1
-1781, 9300, 1
1781, -9300, 1
-1781, -9300, 1
10509, 2060, 1
-10509, 2060, 1
10509, -2060, 1
-10509, -2060, 1
1599, 7480, 1
-1599, 7480, 1
1599, -7480, 1
-1599, -7480, 1
3135, 13432, 1
-3135, 13432, 1
3135, -13432, 1
-3135, -13432, 1
2641, 9480, 1
-2641, 9480, 1
2641, -9480, 1
-2641, -9480, 1
4225, 13968, 1
-4225, 13968, 1
4225, -13968, 1
-4225, -13968, 1
3275, 8268, 1
-3275, 8268, 1
3275, -8268, 1
-3275, -8268, 1
11097, 6104, 1
-11097, 6104, 1
11097, -6104, 1
-11097, -6104, 1
4619, 10620, 1
-4619, 10620, 1
4619, -10620, 1
-4619, -10620, 1
12441, 6440, 1
-12441, 6440, 1
12441, -6440, 1
-12441, -6440, 1
3069, 4420, 1
-3069, 4420, 1
3069, -4420, 1
-3069, -4420, 1
3885, 4828, 1
-3885, 4828, 1
3885, -4828, 1
-3885, -4828, 1
1591, 240, 1
-1591, 240, 1
1591, -240, 1
-1591, -240, 1
355, 2508, 1
-355, 2508, 1
355, -2508, 1
-355, -2508, 1
7747, 6204, 1
-7747, 6204, 1
7747, -6204, 1
-7747, -6204, 1
7137, 4984, 1
-7137, 4984, 1
7137, -4984, 1
-7137, -4984, 1
13871, 5520, 1
-13871, 5520, 1
13871, -5520, 1
-13871, -5520, 1
14715, 3172, 1
-14715, 3172, 1
14715, -3172, 1
-14715, -3172, 1
8585, 1488, 1
-8585, 1488, 1
8585, -1488, 1
-8585, -1488, 1
1507, 9324, 1
-1507, 9324, 1
1507, -9324, 1
-1507, -9324, 1
9737, 1584, 1
-9737, 1584, 1
9737, -1584, 1
-9737, -1584, 1
1397, 8004, 1
-1397, 8004, 1
1397, -8004, 1
-1397, -8004, 1
2703, 12496, 1
-2703, 12496, 1
2703, -12496, 1
-2703, -12496, 1
3841, 13680, 1
-3841, 13680, 1
3841, -13680, 1
-3841, -13680, 1
4379, 10980, 1
-4379, 10980, 1
4379, -10980, 1
-4379, -10980, 1
14601, 8000, 1
-14601, 8000, 1
14601, -8000, 1
-14601, -8000, 1
5915, 13668, 1
-5915, 13668, 1
5915, -13668, 1
-5915, -13668, 1
3885, 5548, 1
-3885, 5548, 1
3885, -5548, 1
-3885, -5548, 1
4797, 6004, 1
-4797, 6004, 1
4797, -6004, 1
-4797, -6004, 1
1927, 264, 1
-1927, 264, 1
1927, -264, 1
-1927, -264, 1
345, 2368, 1
-345, 2368, 1
345, -2368, 1
-345, -2368, 1
7257, 5824, 1
-7257, 5824, 1
7257, -5824, 1
-7257, -5824, 1
6667, 4644, 1
-6667, 4644, 1
6667, -4644, 1
-6667, -4644, 1
12741, 5060, 1
-12741, 5060, 1
12741, -5060, 1
-12741, -5060, 1
12625, 2712, 1
-12625, 2712, 1
12625, -2712, 1
-12625, -2712, 1
6675, 1148, 1
-6675, 1148, 1
6675, -1148, 1
-6675, -1148, 1
1017, 6344, 1
-1017, 6344, 1
1017, -6344, 1
-1017, -6344, 1
7347, 1204, 1
-7347, 1204, 1
7347, -1204, 1
-7347, -1204, 1
927, 5264, 1
-927, 5264, 1
927, -5264, 1
-927, -5264, 1
13685, 9348, 1
-13685, 9348, 1
13685, -9348, 1
-13685, -9348, 1
11543, 2376, 1
-11543, 2376, 1
11543, -2376, 1
-11543, -2376, 1
1807, 9576, 1
-1807, 9576, 1
1807, -9576, 1
-1807, -9576, 1
12423, 2464, 1
-12423, 2464, 1
12423, -2464, 1
-12423, -2464, 1
1573, 7236, 1
-1573, 7236, 1
1573, -7236, 1
-1573, -7236, 1
13699, 3540, 1
-13699, 3540, 1
13699, -3540, 1
-13699, -3540, 1
2533, 10956, 1
-2533, 10956, 1
2533, -10956, 1
-2533, -10956, 1
14659, 3660, 1
-14659, 3660, 1
14659, -3660, 1
-14659, -3660, 1
2091, 7420, 1
-2091, 7420, 1
2091, -7420, 1
-2091, -7420, 1
14329, 9000, 1
-14329, 9000, 1
14329, -9000, 1
-14329, -9000, 1
12183, 4256, 1
-12183, 4256, 1
12183, -4256, 1
-12183, -4256, 1
3003, 10004, 1
-3003, 10004, 1
3003, -10004, 1
-3003, -10004, 1
13095, 4408, 1
-13095, 4408, 1
13095, -4408, 1
-13095, -4408, 1
2289, 5720, 1
-2289, 5720, 1
2289, -5720, 1
-2289, -5720, 1
10385, 9768, 1
-10385, 9768, 1
10385, -9768, 1
-10385, -9768, 1
7571, 4140, 1
-7571, 4140, 1
7571, -4140, 1
-7571, -4140, 1
3025, 7008, 1
-3025, 7008, 1
3025, -7008, 1
-3025, -7008, 1
11857, 11424, 1
-11857, 11424, 1
11857, -11424, 1
-11857, -11424, 1
8307, 4324, 1
-8307, 4324, 1
8307, -4324, 1
-8307, -4324, 1
1975, 2808, 1
-1975, 2808, 1
1975, -2808, 1
-1975, -2808, 1
2407, 3024, 1
-2407, 3024, 1
2407, -3024, 1
-2407, -3024, 1
957, 124, 1
-957, 124, 1
957, -124, 1
-957, -124, 1
147, 1196, 1
-147, 1196, 1
147, -1196, 1
-147, -1196, 1
3827, 3036, 1
-3827, 3036, 1
3827, -3036, 1
